"name","summary","space","description","neighborhood_overview","notes","transit","access","interaction","house_rules","id","Year","Month","listing_url","picture_url","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","square_feet","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","calendar_updated","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","requires_license","license","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","is_business_travel_ready","host_id","host_url","host_name","host_since","host_location","host_about","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_thumbnail_url","host_picture_url","host_total_listings_count","host_verifications","host_has_profile_pic","host_identity_verified","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","number_of_reviews","number_of_reviews_ltm","reviews_per_month","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","latitude","longitude","street","is_location_exact","airbnb_region","Blk_ID_10","CT_ID_10","TOWN","COUNTY"
"(02)room","Close to the T(train/subway) station, Downtown, MIT, Harvard, Tufts University. Quiet and safe neighborhood. One private bedroom with lock on the door. Other space like kitchen, bathroom, living room are shared with others. Transportation: 8 mins walking to Sullivan Square train station on orange line.  10-15 mins train to Downtown/South Station. 5-10 mins to Harvard, MIT by car.","Parking condition: Street parking(Let me know first if you have a car) - Comfortable bed, bed sets - Towels - Shampoo, body wash - Cooking equipments - High Speed Internet WiFi  - Picking up service from Logan airport(Ask about it, depends on time). - There is no washer and dryer in the apartment. But a laundromat is only 1-2 blocks away.","Close to the T(train/subway) station, Downtown, MIT, Harvard, Tufts University. Quiet and safe neighborhood. One private bedroom with lock on the door. Other space like kitchen, bathroom, living room are shared with others. Transportation: 8 mins walking to Sullivan Square train station on orange line.  10-15 mins train to Downtown/South Station. 5-10 mins to Harvard, MIT by car. Parking condition: Street parking(Let me know first if you have a car) - Comfortable bed, bed sets - Towels - Shampoo, body wash - Cooking equipments - High Speed Internet WiFi  - Picking up service from Logan airport(Ask about it, depends on time). - There is no washer and dryer in the apartment. But a laundromat is only 1-2 blocks away. Boston is the city that has lots of historical buildings and old houses. My house is one of them. It's an old house so there would have some old part/small damaged part, but it is clean and good to use. We hired professional housekeeper to do the cleaning. If you have concern","","Boston is the city that has lots of historical buildings and old houses. My house is one of them. It's an old house so there would have some old part/small damaged part, but it is clean and good to use. We hired professional housekeeper to do the cleaning. If you have concern, please contact host first. Large oven under stove is forbid to use.","","","","1. No party, no event, no loud music are allowed in our apartment.  2. Smoking and drug using are strictly prohibited inside the apartment, in apartment hallway and near the front entrance stairs. 3. Quiet time: 10pm ~ 8am. Do not disturb neighbors.  4. No extra person stay in the apartment except those listed in your group when you placed booking. 5. Please don't throw trash or trash bags outside the house, not even in the bin. Contact me to collect trash bags. There're special rule on street. 6. Please wash your used dishes, glasses, pots and pans immediately after you use. 7. Please don't put your private stuff everywhere in shared space and blocks others' use. 8. Please clean hair in shower space after you use. Clean hair from bathroom strainer(hair blocks, where water outflow inside tub). We usually come and clean everyday, but we can't be there 24 hours. Please try to keep clean! Thank you!",28082326,2019,"January","https://www.airbnb.com/rooms/28082326","https://a0.muscache.com/im/pictures/f47eb817-27e8-49d3-9d43-30fea526dc17.jpg?aki_policy=large","APT","PR",2,1,1,1,"RB","{Wifi,""Air conditioning"",Kitchen,Heating,""Smoke detector"",Essentials,Shampoo,""Lock on bedroom door"",""Hair dryer"",""Laptop friendly workspace""}",NA,"$65.00 ","","","","$20.00 ",1,"$0.00 ",1,1125,"2 weeks ago",30,60,90,90,"1/17/19",0,"",0,"STR_G",0,0,0,68367007,"https://www.airbnb.com/users/show/68367007","Euphy","4/22/16","Boston, Massachusetts, United States","Undergraduate student in Umass Boston. I came from Chongqing, China. Would like to welcome friendly guests from all around the world.","within an hour","100%",NA,"0","https://a0.muscache.com/im/pictures/user/73dcd8a5-176f-4570-9690-8857e36ac1c2.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/73dcd8a5-176f-4570-9690-8857e36ac1c2.jpg?aki_policy=profile_x_medium",65,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","1","0",10,2,8,0,0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,42.3845961,-71.08363604,"Somerville, MA, United States",0,"Boston",2.50174e+14,25017351403,"Somerville","Middlesex County"
"(03)room","我的房源靠近It's very close to the subway station.  15 mins to Harvard, MIT by car or bike. There're shopping street close to the house where you could eat and walk. Welcome long time reservation.｡因为街区､光照､舒适的床､厨房､温馨,您一定会爱上我的房源｡我的房源适合情侣､独自旅行的冒险家､商务旅行者｡","Parking condition: Street parking(Let me know first if you have a car) - Comfortable bed, bed sets - Towels - Shampoo, body wash - Cooking equipments - High Speed Internet WiFi  - Picking up service from Logan airport(Ask about it, depends on time). - There is no washer and dryer in the apartment. But a laundromat is only 1-2 blocks away.","我的房源靠近It's very close to the subway station.  15 mins to Harvard, MIT by car or bike. There're shopping street close to the house where you could eat and walk. Welcome long time reservation.｡因为街区､光照､舒适的床､厨房､温馨,您一定会爱上我的房源｡我的房源适合情侣､独自旅行的冒险家､商务旅行者｡","","Boston is the city that has lots of historical buildings and old houses. My house is one of them. It's an old house so there would have some old part/small damaged part, but it is clean and good to use. We hired professional housekeeper to do the cleaning. If you have concern, please contact host first. Large oven under stove is forbid to use.","","","","- Please keep quite after 11pm - Please clean the tools you used in the kitchen.",28082639,2019,"January","https://www.airbnb.com/rooms/28082639","https://a0.muscache.com/im/pictures/a017d26b-1340-4314-acef-041fa8c0a38b.jpg?aki_policy=large","APT","PR",3,1,1,2,"RB","{Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Heating,""Smoke detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",""Laptop friendly workspace""}",NA,"$65.00 ","","","$300.00 ","$20.00 ",1,"$15.00 ",1,1125,"2 weeks ago",30,60,90,90,"1/17/19",0,"",0,"STR_G",0,0,0,68367007,"https://www.airbnb.com/users/show/68367007","Euphy","4/22/16","Boston, Massachusetts, United States","Undergraduate student in Umass Boston. I came from Chongqing, China. Would like to welcome friendly guests from all around the world.","within an hour","100%",NA,"0","https://a0.muscache.com/im/pictures/user/73dcd8a5-176f-4570-9690-8857e36ac1c2.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/73dcd8a5-176f-4570-9690-8857e36ac1c2.jpg?aki_policy=profile_x_medium",65,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']","1","0",10,2,8,0,0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,42.3850089,-71.08190104,"Somerville, MA, United States",0,"Boston",2.50174e+14,25017351403,"Somerville","Middlesex County"
