vendorId, tpepPickupDatetime, tpepDropoffDatetime, passengerCount, tripDistance, ratecodeId, storeAndFwdFlag, puLocationId, doLocationId, paymentType, fareAmount, extra, mtaTax, tipAmount, tollsAmount, improvementSurcharge, totalAmount, congestionSurcharge, airportFee
1, 2024-01-01T00:45:55Z, 2024-01-01T01:15:10Z, 3, 6.2, 1, N, 239, 158, 1, 33.8, 3.5, 0.5, 7.75, 0.0, 1.0, 46.55, 2.5, 0.0
2, 2024-01-01T00:48:07Z, 2024-01-01T01:04:05Z, 1, 1.25, 1, N, 163, 142, 1, 14.2, 1.0, 0.5, 1.92, 0.0, 1.0, 21.12, 2.5, 0.0
2, 2024-01-01T00:19:41Z, 2024-01-01T00:32:28Z, 1, 4.15, 1, N, 161, 41, 1, 18.4, 1.0, 0.5, 4.68, 0.0, 1.0, 28.08, 2.5, 0.0
2, 2024-01-01T00:39:03Z, 2024-01-01T00:55:15Z, 1, 2.75, 1, N, 166, 116, 2, 17.0, 1.0, 0.5, 0.0, 0.0, 1.0, 19.5, 0.0, 0.0
2, 2024-01-01T00:25:33Z, 2024-01-01T00:41:59Z, 1, 0.46, 1, N, 164, 186, 1, 14.2, 1.0, 0.5, 0.0, 0.0, 1.0, 19.2, 2.5, 0.0
2, 2024-01-01T00:55:35Z, 2024-01-01T01:07:46Z, 1, 1.21, 1, N, 164, 186, 2, 12.1, 1.0, 0.5, 0.0, 0.0, 1.0, 17.1, 2.5, 0.0
1, 2024-01-01T00:07:16Z, 2024-01-01T00:15:14Z, 1, 1.3, 1, N, 211, 231, 1, 8.6, 3.5, 0.5, 2.0, 0.0, 1.0, 15.6, 2.5, 0.0
1, 2024-01-01T00:22:33Z, 2024-01-01T00:47:07Z, 1, 4.9, 1, N, 231, 140, 1, 24.0, 3.5, 0.5, 5.8, 0.0, 1.0, 34.8, 2.5, 0.0
1, 2024-01-01T00:59:32Z, 2024-01-01T01:05:18Z, 1, 0.8, 1, N, 141, 236, 1, 6.5, 3.5, 0.5, 2.9, 0.0, 1.0, 14.4, 2.5, 0.0
1, 2024-01-01T00:28:48Z, 2024-01-01T00:33:49Z, 1, 1.0, 1, N, 137, 79, 1, 6.5, 3.5, 0.5, 2.9, 0.0, 1.0, 14.4, 2.5, 0.0
1, 2024-01-01T00:39:32Z, 2024-01-01T00:48:35Z, 1, 1.0, 1, N, 79, 249, 1, 8.6, 3.5, 0.5, 2.7, 0.0, 1.0, 16.3, 2.5, 0.0
1, 2024-01-01T00:49:33Z, 2024-01-01T01:13:27Z, 1, 2.4, 1, N, 249, 50, 2, 19.8, 3.5, 0.5, 0.0, 0.0, 1.0, 24.8, 2.5, 0.0
2, 2024-01-01T00:22:21Z, 2024-01-01T01:01:30Z, 2, 5.73, 1, N, 234, 238, 1, 35.9, 1.0, 0.5, 10.22, 0.0, 1.0, 51.12, 2.5, 0.0
2, 2024-01-01T00:17:17Z, 2024-01-01T00:20:32Z, 1, 0.91, 1, N, 229, 141, 2, 6.5, 1.0, 0.5, 0.0, 0.0, 1.0, 11.5, 2.5, 0.0
2, 2024-01-01T00:32:30Z, 2024-01-01T00:54:30Z, 4, 3.07, 1, N, 237, 79, 1, 20.5, 1.0, 0.5, 5.1, 0.0, 1.0, 30.6, 2.5, 0.0
2, 2024-01-01T00:24:34Z, 2024-01-01T01:01:21Z, 1, 2.1, 1, N, 142, 164, 2, 29.6, 1.0, 0.5, 0.0, 0.0, 1.0, 34.6, 2.5, 0.0
1, 2024-01-01T00:11:55Z, 2024-01-01T00:16:59Z, 1, 0.8, 1, N, 249, 234, 1, 6.5, 3.5, 0.5, 2.3, 0.0, 1.0, 13.8, 2.5, 0.0
1, 2024-01-01T00:22:23Z, 2024-01-01T00:57:18Z, 1, 6.4, 1, N, 113, 238, 1, 36.6, 3.5, 0.5, 8.32, 0.0, 1.0, 49.92, 2.5, 0.0
2, 2024-01-01T00:09:26Z, 2024-01-01T00:14:22Z, 2, 0.87, 1, N, 237, 229, 1, 7.2, 1.0, 0.5, 1.5, 0.0, 1.0, 13.7, 2.5, 0.0
2, 2024-01-01T00:27:13Z, 2024-01-01T00:32:38Z, 2, 0.62, 1, N, 161, 237, 1, 7.2, 1.0, 0.5, 3.05, 0.0, 1.0, 15.25, 2.5, 0.0
2, 2024-01-01T00:37:55Z, 2024-01-01T01:13:04Z, 2, 18.44, 1, N, 163, 265, 2, 70.9, 1.0, 0.5, 0.0, 0.0, 1.0, 75.9, 2.5, 0.0
2, 2024-01-01T00:00:36Z, 2024-01-01T00:13:37Z, 4, 3.97, 1, N, 263, 226, 2, 18.4, 1.0, 0.5, 0.0, 0.0, 1.0, 23.4, 2.5, 0.0
2, 2024-01-01T00:37:19Z, 2024-01-01T00:43:16Z, 3, 1.28, 1, N, 43, 263, 2, 8.6, 1.0, 0.5, 0.0, 0.0, 1.0, 13.6, 2.5, 0.0
2, 2024-01-01T00:48:15Z, 2024-01-01T00:57:27Z, 3, 1.56, 1, N, 236, 239, 1, 10.7, 1.0, 0.5, 3.14, 0.0, 1.0, 18.84, 2.5, 0.0
2, 2024-01-01T00:04:05Z, 2024-01-01T00:20:09Z, 1, 3.23, 1, N, 166, 237, 1, 18.4, 1.0, 0.5, 4.68, 0.0, 1.0, 28.08, 2.5, 0.0
2, 2024-01-01T00:33:17Z, 2024-01-01T01:08:45Z, 1, 4.23, 1, N, 239, 114, 1, 31.0, 1.0, 0.5, 7.2, 0.0, 1.0, 43.2, 2.5, 0.0
2, 2024-01-01T00:26:30Z, 2024-01-01T00:34:24Z, 2, 1.31, 1, N, 170, 113, 1, 9.3, 1.0, 0.5, 2.86, 0.0, 1.0, 17.16, 2.5, 0.0
2, 2024-01-01T00:38:47Z, 2024-01-01T00:44:26Z, 4, 0.67, 1, N, 211, 79, 1, 7.2, 1.0, 0.5, 2.44, 0.0, 1.0, 14.64, 2.5, 0.0
2, 2024-01-01T00:46:40Z, 2024-01-01T00:51:38Z, 1, 0.76, 1, N, 79, 114, 2, 7.2, 1.0, 0.5, 0.0, 0.0, 1.0, 12.2, 2.5, 0.0
2, 2024-01-01T00:54:59Z, 2024-01-01T01:12:00Z, 2, 1.91, 1, N, 114, 261, 1, 16.3, 1.0, 0.5, 3.2, 0.0, 1.0, 24.5, 2.5, 0.0
2, 2024-01-01T00:43:24Z, 2024-01-01T01:14:26Z, 1, 19.78, 1, N, 132, 181, 1, 75.8, 1.0, 0.5, 15.66, 0.0, 1.0, 95.71, 0.0, 1.75
2, 2024-01-01T00:09:19Z, 2024-01-01T00:21:34Z, 1, 1.79, 1, N, 163, 239, 2, 13.5, 1.0, 0.5, 0.0, 0.0, 1.0, 18.5, 2.5, 0.0
2, 2024-01-01T00:22:17Z, 2024-01-01T00:37:17Z, 1, 2.86, 1, N, 239, 237, 2, 16.3, 1.0, 0.5, 0.0, 0.0, 1.0, 21.3, 2.5, 0.0
2, 2024-01-01T00:11:56Z, 2024-01-01T00:21:45Z, 1, 2.31, 1, N, 234, 229, 1, 12.8, 1.0, 0.5, 0.0, 0.0, 1.0, 17.8, 2.5, 0.0
2, 2024-01-01T00:25:30Z, 2024-01-01T00:31:01Z, 1, 0.44, 1, N, 233, 162, 1, 6.5, 1.0, 0.5, 2.3, 0.0, 1.0, 13.8, 2.5, 0.0
2, 2024-01-01T00:36:41Z, 2024-01-01T00:51:06Z, 1, 0.82, 1, N, 161, 233, 2, 12.8, 1.0, 0.5, 0.0, 0.0, 1.0, 17.8, 2.5, 0.0
2, 2024-01-01T00:20:37Z, 2024-01-01T00:37:19Z, 1, 5.74, 1, N, 88, 170, 1, 26.8, 1.0, 0.5, 7.95, 0.0, 1.0, 39.75, 2.5, 0.0
2, 2024-01-01T00:43:51Z, 2024-01-01T01:05:00Z, 1, 5.69, 1, N, 164, 261, 1, 28.2, 1.0, 0.5, 0.0, 0.0, 1.0, 33.2, 2.5, 0.0
1, 2024-01-01T00:11:55Z, 2024-01-01T00:18:43Z, 1, 0.9, 1, N, 125, 144, 1, 8.6, 3.5, 0.5, 1.0, 0.0, 1.0, 14.6, 2.5, 0.0
1, 2024-01-01T00:21:44Z, 2024-01-01T00:34:07Z, 1, 2.0, 1, N, 144, 90, 1, 13.5, 3.5, 0.5, 3.7, 0.0, 1.0, 22.2, 2.5, 0.0
1, 2024-01-01T00:19:07Z, 2024-01-01T00:27:05Z, 1, 1.3, 1, N, 170, 79, 1, 7.9, 3.5, 0.5, 3.25, 0.0, 1.0, 16.15, 2.5, 0.0
1, 2024-01-01T00:45:14Z, 2024-01-01T01:16:21Z, 1, 3.9, 1, N, 79, 142, 1, 26.1, 3.5, 0.5, 6.2, 0.0, 1.0, 37.3, 2.5, 0.0
2, 2024-01-01T00:17:24Z, 2024-01-01T00:20:14Z, 2, 0.3, 1, N, 79, 114, 1, 5.1, 1.0, 0.5, 2.0, 0.0, 1.0, 12.1, 2.5, 0.0
2, 2024-01-01T00:30:13Z, 2024-01-01T00:42:26Z, 1, 1.85, 1, N, 79, 234, 1, 12.8, 1.0, 0.5, 1.0, 0.0, 1.0, 18.8, 2.5, 0.0
2, 2024-01-01T00:54:16Z, 2024-01-01T01:36:10Z, 1, 2.55, 1, N, 249, 68, 1, 33.8, 1.0, 0.5, 2.0, 0.0, 1.0, 40.8, 2.5, 0.0
2, 2024-01-01T00:42:08Z, 2024-01-01T00:53:42Z, 2, 1.93, 1, N, 148, 234, 1, 12.1, 1.0, 0.5, 3.42, 0.0, 1.0, 20.52, 2.5, 0.0
2, 2024-01-01T00:56:36Z, 2024-01-01T01:13:47Z, 3, 1.48, 1, N, 234, 107, 1, 14.9, 1.0, 0.5, 3.98, 0.0, 1.0, 23.88, 2.5, 0.0
2, 2024-01-01T00:02:30Z, 2024-01-01T00:15:46Z, 2, 3.41, 1, N, 140, 4, 1, 18.4, 1.0, 0.5, 5.08, 0.0, 1.0, 28.48, 2.5, 0.0
2, 2024-01-01T00:19:04Z, 2024-01-01T00:34:10Z, 2, 3.26, 1, N, 79, 163, 1, 17.7, 1.0, 0.5, 4.54, 0.0, 1.0, 27.24, 2.5, 0.0
2, 2024-01-01T00:40:25Z, 2024-01-01T01:09:05Z, 2, 3.05, 1, N, 43, 170, 2, 26.1, 1.0, 0.5, 0.0, 0.0, 1.0, 31.1, 2.5, 0.0
2, 2024-01-01T00:39:29Z, 2024-01-01T01:37:50Z, 2, 1.29, 1, N, 246, 107, 2, 19.8, 1.0, 0.5, 0.0, 0.0, 1.0, 24.8, 2.5, 0.0
2, 2024-01-01T00:25:34Z, 2024-01-01T00:44:50Z, 3, 2.52, 1, N, 162, 246, 1, 18.4, 1.0, 0.5, 1.0, 0.0, 1.0, 24.4, 2.5, 0.0
2, 2024-01-01T00:52:55Z, 2024-01-01T00:59:21Z, 2, 0.75, 1, N, 68, 246, 1, 7.9, 1.0, 0.5, 2.58, 0.0, 1.0, 15.48, 2.5, 0.0
2, 2024-01-01T00:58:28Z, 2024-01-01T01:07:47Z, 2, 2.32, 1, N, 41, 239, 1, 12.8, 1.0, 0.5, 3.56, 0.0, 1.0, 21.36, 2.5, 0.0
